areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10
Canarsie,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,1375,1400,1525,1450,,,,,,,,,,,,,,,,,,,,,,,1500,,1595,,,,,,,,1350,1400,1475,1350,,1800,1500,1800,1750,1500,1600,1700,1700,1800,1850,1850,1850,1850,1850,1800,1800,1800,1800,1799,1863,1800,1813,1800,1900,1838,1800,1825,2200,1850,1750,2025,2100,2100,2100,1825,1900,1900,1900,2075,2174,2100,2000,1999,2050,2199,2150,2275,2250,2250,2000,2000,2000,1990,2200,2000,2000,2100,2100,2100,1958,2100,2100,2100,2200,2200,2300,2250,2250,2200,2175,2200,2300,2300,2300,2177,2100,2200,2075,1950,1975,2195,2095,2050,2098,2200
Carroll Gardens,Brooklyn,neighborhood,2275,2225,2275,2175,2200,2200,2250,2200,2250,2250,2200,2250,2400,2250,2250,2400,2838,2675,2550,3000,3500,2900,2500,2600,2900,2800,3798,3675,3600,3400,2875,3750,3550,3500,3200,3000,3400,2950,3200,3350,2800,2900,2900,3300,2895,3000,3450,3350,2800,2800,2800,2800,2900,2800,2800,2900,3000,3000,3000,2850,2900,2800,2900,2950,2973,3000,3000,3000,3000,3000,3000,3000,3000,2900,2950,2995,3075,3000,3200,3000,3000,3100,3000,2900,3000,2800,2800,2850,2900,2900,2900,2900,2800,2950,2900,2875,2825,2900,2838,3000,3229,3125,3000,3000,3000,2990,2900,3200,3150,2900,2775,2850,2950,2995,3200,3400,3625,3475,3200,3275,3200,3400,3390,3300,3475,3000,3000,3000,2812,2750,2650,2500,2500,2500,2500,2600,2600,2800,2900,3225,3000,3150
Castle Hill,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1479,1498,,,,,,,,1513,1300,,,1450,1450,,1525,1450,,1574,1475,1475,1475,1488,1625,1795,1496,1700,1650,1700,1495,1473,1525,1850,1900,1800,1800,1850,,,,1500,1600,1800,1750,1750,1799,,,,,1575,1850,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Harlem,Manhattan,neighborhood,1950,1963,1895,1863,1900,1900,1850,1800,1850,1850,1800,1750,1798,1800,1895,1950,2048,2095,2098,2057,2000,1995,2100,2000,1995,2000,2000,2100,2095,1975,2200,2295,2200,2000,2100,2000,2000,2000,2100,2108,2150,2175,2200,2269,2290,2200,2200,2100,2100,2100,2000,2150,2200,2150,2200,2263,2295,2375,2350,2350,2350,2400,2383,2300,2300,2300,2300,2350,2300,2400,2329,2400,2400,2395,2400,2490,2450,2400,2450,2500,2500,2500,2500,2500,2493,2398,2350,2350,2400,2400,2495,2500,2475,2399,2380,2390,2400,2450,2495,2550,2500,2500,2550,2600,2500,2450,2400,2400,2450,2463,2495,2580,2648,2700,2650,2650,2600,2505,2535,2495,2500,2497,2500,2500,2600,2595,2550,2495,2400,2397,2395,2378,2300,2300,2300,2300,2350,2400,2450,2400,2453,2450
Central Park South,Manhattan,neighborhood,6000,6000,5950,6500,6200,5800,5575,6100,6500,6500,6500,6250,6500,6500,5600,5700,6500,4923,4625,4900,5800,5400,5700,5450,5200,6000,5500,6000,4998,5500,6250,6125,6400,6400,7000,6400,6800,7500,7500,7500,7500,7250,7850,7950,8450,7450,7375,7850,7850,7750,6500,6500,7475,6550,7500,7500,7500,7500,7500,7825,7500,7850,7650,7375,7000,6825,7500,7900,7900,8000,7900,7888,7900,7475,7500,7850,7500,7438,7500,7000,7500,7475,7475,7500,7475,7025,7000,6925,6500,7238,6600,7500,6923,7500,6850,6600,7100,7250,7500,7500,6838,6900,7500,7325,7950,7810,9000,7800,7500,7500,7450,7475,6750,6950,6862,6700,6600,7450,7450,7475,7995,7575,7950,8100,7475,7200,6190,6185,6461,6500,6800,6500,6995,7100,6800,7075,6800,7200,7300,7400,8125,8500
Central Queens,Queens,submarket,1500,1483,1500,1500,1313,1350,1350,1350,1350,1350,1350,1373,1400,1350,1500,1550,1550,1550,1550,1550,1595,1650,1575,1650,1650,1940,1913,1900,1713,1800,1775,1695,1650,1900,1850,1900,1750,1798,1750,1750,1700,1700,1800,1800,1850,1895,1875,1800,1795,1800,1800,1795,1750,1825,1850,1900,1900,1850,1900,1900,1900,1950,1900,1900,1950,2000,2000,2000,2000,2000,2075,2052,2000,2075,2000,2095,2100,2153,2200,2200,2195,2100,2100,2195,2149,2100,2100,2050,2097,2150,2200,2195,2150,2100,2060,2095,2050,2045,2100,2100,2100,2100,2199,2249,2200,2122,2088,2045,2095,2100,2100,2193,2195,2249,2264,2250,2200,2100,2145,2133,2150,2199,2200,2200,2200,2200,2200,2155,2100,2050,2000,2000,2000,2000,2000,2000,2100,2100,2125,2100,2150,2199
Chelsea,Manhattan,neighborhood,3200,3400,3245,3200,3200,3395,3400,3450,3625,3600,3500,3320,3295,3295,3400,3450,3450,3480,3500,3473,3600,3800,3650,3500,3400,3500,3600,3600,3795,3800,3600,3600,3700,3500,3695,3715,3650,3700,3600,3730,3743,3695,3695,3750,3892,3876,3650,3795,3695,3695,3745,3725,3750,3745,3750,3750,3795,3735,3750,3800,3795,3750,3800,3950,3950,3995,4075,4025,4000,4100,3875,3895,3860,3850,3871,3950,4100,4195,4050,3995,3995,4000,3995,3910,3895,3950,3910,3904,3950,3900,3900,3800,3838,3939,3950,3910,3945,4000,4000,3995,3995,4000,3995,4079,4127,4000,4000,4036,4000,4250,4150,4245,4295,4462,4403,4358,4295,4295,4280,4221,4095,4175,4195,3977,3850,3838,3640,3550,3419,3339,3300,3400,3400,3495,3595,3500,3668,3900,4195,4473,4506,4691
Chinatown,Manhattan,neighborhood,2900,2900,2550,2200,2200,2248,2500,2700,2875,2300,2900,3166,3166,2900,2800,2300,2400,2900,2500,2450,3150,2900,2425,2475,3150,2575,2523,2550,2500,2450,2425,2900,2698,2600,2550,2378,2750,2750,2675,2800,3100,2700,2600,2600,3150,3000,2650,2600,2850,2500,2500,2600,2800,2948,2800,2800,2850,3150,3075,3000,2700,3073,2900,2900,2850,2850,2750,2900,2850,2700,2750,3275,2650,2650,2675,2900,2690,2800,2800,2850,2923,2923,2975,3000,2950,2800,2725,2875,3000,2800,2898,2773,2700,2648,2725,2800,2673,2700,2695,2600,2900,2900,2703,2800,2895,2500,2799,2800,2700,2800,2563,2700,2700,3000,3000,2600,2500,3000,2950,3200,3275,2695,3300,3000,2985,2935,2748,2650,2415,2400,2375,2325,2395,2300,2300,2500,2450,2450,2495,2500,2775,2900
City Island,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Civic Center,Manhattan,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clearview,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2298,,,,,2300,,,,,,,,,,,
Clinton Hill,Brooklyn,neighborhood,2085,1950,1975,2000,2100,1900,1875,2075,2300,2269,2100,2059,2177,2269,2300,2350,2350,2300,2250,2304,2500,2535,2495,2600,2650,2750,2698,2763,2550,2700,2714,3000,3000,3000,2950,2850,2525,2650,2585,2600,2600,2595,2500,2500,2500,2500,2650,2750,2700,2585,2600,2650,2713,2700,2745,2800,2750,2700,2600,2700,2700,2750,2750,2750,2785,2650,2700,2748,2850,2750,2700,2665,2699,2700,2682,2652,2700,2700,2700,2700,2753,2797,2750,2606,2600,2650,2650,2600,2750,2700,2700,2600,2599,2795,2725,2735,2700,2600,2650,2784,2879,2885,2856,2800,2750,2700,2700,2750,2950,2950,3000,2980,3163,3250,3100,3100,2950,3075,3000,2973,2954,3100,2995,2995,2993,2975,2895,2800,2700,2650,2625,2600,2600,2595,2595,2600,2650,2700,2850,3109,3109,3000
Co-op City,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cobble Hill,Brooklyn,neighborhood,1900,2350,2225,2340,2400,2340,2450,2525,2600,2600,2625,2600,2500,2450,2500,2900,2835,2750,2750,3100,3235,3050,3150,3200,3000,2900,3100,2850,2795,2590,3025,3200,3000,2895,3150,3200,3000,2875,2850,3100,3100,3700,3400,3200,3100,3050,2923,2800,2950,3050,2900,2800,3100,3500,3330,3300,3100,3100,3100,3175,3100,2973,2995,3150,3150,3000,3200,3325,3300,3275,3200,3200,3210,3125,3150,3150,3275,3250,3100,3250,3050,3150,2995,2848,2756,2815,2750,2688,3000,2973,3000,3250,3199,3200,3050,3000,3082,2950,2925,3100,3163,3176,3313,3350,3400,3125,3200,3198,3200,3250,3198,3140,3140,3300,3631,3800,3650,3575,3400,3640,3125,3400,3350,3500,3350,3200,3000,2915,2888,2800,2800,2850,2800,2725,2850,2600,2800,2750,2950,3250,3350,3400
College Point,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,2300,,,,,2200,2200,2100,,,,,,,,2100,2175,,,,,2000,2125,2150,2175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia St Waterfront District,Brooklyn,neighborhood,2000,1950,,,2550,2500,2500,2450,2700,2650,2200,1775,2000,2200,2200,2200,2200,,2400,2525,,2600,2950,,2350,2400,2600,,2775,2500,2550,2500,2500,3000,2925,3300,2600,2625,3150,3075,3150,3350,3500,3500,2600,2500,2725,2500,2750,2700,2775,2700,2800,2800,2800,2325,2125,2298,2800,2800,2800,2750,2750,2750,2700,2500,2588,2500,2750,2775,2900,2750,2850,2898,3000,2900,3025,2925,3050,2895,2950,2848,2895,2700,2700,2625,2663,2500,2550,2600,2700,2700,2750,2800,2700,2700,2625,2700,2395,2500,2950,3150,3100,2975,2975,2800,2800,2700,2800,2850,2500,2600,3100,2938,3000,3200,3000,3000,3000,2500,2950,2650,2650,3000,2688,2600,3000,2917,2800,2600,2515,2500,2500,2500,2540,2500,2225,2325,2520,2500,2900,2700
Concourse,Bronx,neighborhood,,,,1373,,,,,,1425,,1438,1313,,1500,,,1350,,1350,1250,1100,1199,1100,1300,1325,1300,1300,1350,1400,1475,1375,1300,1375,1350,1399,1400,1400,1400,1400,1500,1500,1645,1500,1495,1425,1388,1425,1450,1400,1491,1425,1450,1300,1463,1500,1500,1500,1500,1350,1295,1375,1475,1425,1450,1600,1525,1500,1600,1600,1550,1450,1500,1500,1495,1550,1550,1600,1650,1600,1650,1600,1525,1550,1510,1500,1674,1675,1625,1550,1579,1650,1722,1797,1650,1600,1595,1850,1700,1850,1875,1774,1750,1743,1673,1700,1675,1800,1825,1695,1700,1800,1800,1695,1775,1700,1698,1698,1700,1800,1800,1832,1897,1924,1895,1785,1700,1749,1749,1700,1675,1650,1775,1900,1800,1925,1945,1850,1925,1900,1833,1850
Coney Island,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1725,1550,,1800,1900,1775,1980,1850,1700,1700,1487,1485,1550,1475,1650,1600,1700,1775,1675,1675,1748,1675,2225,2075,2050,2125,2125,1999,1999,1950,1950,1988,2000,2100,2000,1995,1998,2050,2038,2200,2078,2150,2113,2113,1971,2131,2200,2200,2200,2198,2200,2300,2300,2175,2200,2100,2100,2100,1900,2150,2200,2197,2199,2075,2150,2075,2225,2250,2250,2250,2225,2250,2300,2225,2225,2238,2150,2175,2075,2194,2250,2313,2250,2199,2150,2175,2300,2390,2475,2365,2238,2250,2250,2250,2315,2330,2303,2251,2251,2239,2119,2119,2100,2150,2129,2119,2186,2190,2275
Corona,Queens,neighborhood,1100,1098,1095,1095,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,950,950,950,950,950,950,950,950,950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1497,1500,1500,1410,1463,1773,1550,1550,1513,1573,1600,1650,1650,1650,1650,1663,1695,1650,1695,1795,1863,1695,1775,1770,1770,1713,1938,1948,1983,1870,1850,1850,1765,1803,1840,1890,1895,1975,1825,1785,1825,1903,1950,1885,1828,1805,1735,1725,2107,2350,2405,1995,1955,2168,2115,2365,2155,2018,2255,2294,2305,2215,2157,1833,1886,1913,1986,2075,1909,1874,1875,1886,1868,1911,1902,1821,1806,1809,1815,1828,1916,2108,1815,1796,1823,1915,1950,1936,
Country Club,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crotona Park East,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,2050,1800,,2324,1800,,2100,2100,,,,1931,1775,2000,2223,2245,2200,,2050,,,,,,,,,,,2547,2499,,
Crown Heights,Brooklyn,neighborhood,2000,2125,2150,2050,1900,1800,1500,1500,1500,1525,1550,1575,1600,1600,1550,1600,1693,1850,1850,1638,1825,1700,1700,1663,1883,2000,1900,1988,1900,1850,1900,1935,1922,1900,1922,1875,1949,2000,1999,2100,2100,2100,2100,2200,2283,2300,2200,2077,2100,2000,2200,2200,2400,2399,2397,2300,2200,2200,2200,2150,2200,2295,2250,2299,2300,2300,2400,2400,2300,2300,2250,2300,2300,2350,2400,2400,2400,2450,2494,2499,2400,2400,2300,2291,2290,2300,2300,2300,2300,2399,2450,2500,2450,2400,2385,2350,2300,2300,2395,2400,2400,2450,2692,2645,2550,2400,2400,2400,2400,2399,2400,2495,2500,2500,2595,2600,2600,2583,2500,2500,2550,2630,2550,2500,2499,2450,2499,2500,2400,2300,2250,2260,2275,2295,2250,2300,2310,2399,2450,2499,2500,2500
DUMBO,Brooklyn,neighborhood,3275,3200,2800,2875,2800,2950,3400,3825,4200,4150,4250,4200,4100,3950,3550,3650,3475,4000,4150,4000,4000,4000,4000,3775,4200,4200,4250,3500,3650,3700,4100,4300,4300,4300,4350,4100,4100,3500,3650,4200,4025,3800,3775,3938,3850,3650,3800,3773,4000,3888,4000,4000,4100,4175,4173,4250,4227,4300,4217,4100,3900,3943,4400,3950,3925,4100,4145,4373,4500,4350,4488,4525,4250,4100,4100,4300,4925,4800,4800,4370,4370,4550,4700,4400,4498,4750,4587,4473,4495,4495,4500,4250,4498,4375,4500,4431,4225,4148,4200,3918,4245,4500,4246,4649,4223,4745,4973,4984,4564,4333,4650,4498,4495,4613,4875,4964,4750,4500,4895,4980,4973,5152,4850,4600,4500,4498,4496,4250,4500,4495,4495,4095,4000,3900,3900,4150,4150,4225,4500,4595,4675,4650
Ditmas Park,Brooklyn,neighborhood,1600,1850,1850,1500,,,2100,3625,,,1638,,1595,1573,1600,1575,1600,1725,1750,1675,1575,1650,1575,1575,1600,1600,1700,1750,1675,1598,1750,1750,1725,1700,1600,1700,1700,1600,1600,1675,2200,1700,1975,1700,1775,1550,1600,1800,1750,1738,1625,1763,1850,1873,1900,1900,1775,1850,1650,1795,1850,1850,1850,1850,1900,2100,2100,2000,1973,2050,2000,2000,1950,1900,1900,1900,2000,1999,1999,1995,1975,1938,1900,1900,1925,1999,1997,1999,2000,2000,1999,2000,2195,2175,1899,1995,1999,2195,2100,2000,1999,2095,2400,2400,2095,2000,1995,2195,2250,2215,2175,2215,2294,2250,2250,2200,2275,2200,2303,2307,2200,2199,2397,2295,2200,2199,2200,2100,2095,1970,1900,1899,1900,1900,1949,1949,2000,2000,1950,2175,2125,2225
Douglaston,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3925,1950,1850,2200,,,,,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,,,,,,,,,,,,,,,,,,,
Downtown Brooklyn,Brooklyn,neighborhood,2247,2227,2191,2250,2400,2472,2550,2569,2530,2505,2551,2500,2600,2498,2450,2495,2301,2424,2500,2520,2500,2500,2625,2698,2500,2443,2511,2452,2650,2800,2800,2835,2813,2800,2923,3000,3000,2925,2915,2900,2898,2880,2900,3000,2883,2905,2850,2900,2900,3000,2950,2895,2900,2948,3000,3095,3100,3170,3200,3165,3181,3230,3255,3228,3240,3205,3184,3184,3195,3185,3108,3115,3123,3103,3157,3161,3135,3175,3177,3162,3078,3093,3108,3058,3051,3132,3050,3131,3120,3145,3195,3235,3188,3195,3086,3150,3195,3278,3379,3465,3395,3407,3365,3400,3367,3345,3275,3390,3336,3299,3367,3480,3462,3500,3612,3645,3600,3500,3400,3366,3482,3440,3332,3193,3237,3250,3200,3050,2900,2888,2938,2995,3000,3000,3097,3278,3405,3631,3658,3932,3987,3929
Dyker Heights,Brooklyn,neighborhood,,,,,1200,,,1300,,1295,1295,1348,1400,1300,1300,1250,1325,1300,1350,1300,1450,1425,1600,,1400,1600,,,,,,,,,,,,1395,1348,1200,1225,1263,,,,,1825,,1750,1700,1600,1600,1475,1550,1450,1800,1800,1750,2100,1975,1800,1825,1825,1900,1900,2100,2050,1950,1950,1925,1875,1825,1925,2100,1995,2163,1950,1995,2200,2200,2300,2200,2200,2200,2200,2200,2198,2100,1999,1950,1950,1850,2050,1948,2193,2100,2148,1995,1950,2000,2145,1900,2000,2000,1950,2200,2200,2200,1899,2000,2160,1800,2000,2099,2195,1990,1940,2000,2100,2050,2100,2200,2125,2150,2050,2150,2050,2150,2000,2050,2100,2100,1800,1850,1850,2000,2100,2000,1900,2100,2163,2125
East Brooklyn,Brooklyn,submarket,1700,1750,1650,1750,1750,1600,1500,1460,1500,1550,1600,1650,1695,1600,1695,1650,1695,1650,1700,1650,1700,1695,1750,1700,1700,1750,1800,1850,1800,1800,1800,1800,1850,1820,1900,1900,1985,1995,1950,2000,2100,2100,2100,2200,2200,2200,2200,2199,2150,2100,2200,2292,2322,2350,2350,2350,2300,2250,2295,2273,2291,2300,2325,2395,2400,2400,2493,2499,2400,2400,2350,2333,2350,2400,2400,2400,2500,2500,2500,2500,2495,2450,2400,2395,2350,2350,2350,2399,2400,2495,2500,2500,2499,2450,2400,2383,2350,2350,2400,2450,2500,2550,2649,2600,2575,2500,2485,2450,2450,2485,2500,2500,2550,2550,2600,2650,2650,2625,2599,2500,2599,2600,2588,2550,2550,2500,2500,2500,2400,2342,2300,2300,2299,2300,2300,2347,2400,2450,2567,2650,2700,2699
East Elmhurst,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2450,,,,2423,,,,,,,,,,,,,,2275,,,2550,1900,2195,2200,,,,,,,,,,,,,,2450
East Flatbush,Brooklyn,neighborhood,2000,1700,2100,2400,,,2350,2025,2350,2200,,1100,1075,1250,1250,1725,1750,1695,1963,2450,2275,1838,1700,1575,1850,1588,1600,1600,1600,1600,1900,1708,1488,1225,1175,1295,1295,1295,1325,1450,1800,1650,1675,1700,1600,1400,1500,1650,1650,1800,1513,1600,1900,1900,1750,1650,1463,1400,1400,1400,1400,1450,1450,1500,1600,1700,1795,1895,2000,1800,1725,1650,1800,1895,1800,1848,1800,1850,1850,1900,1900,1999,1925,1850,1900,2000,2000,2000,1999,1999,2050,2100,2000,1925,1950,1997,2080,2085,2095,2050,2195,2100,2150,2250,2399,2100,2100,2199,2195,2000,2200,2200,2125,2100,2100,2100,2166,2166,2150,2200,2200,2195,2200,2185,2250,2203,2205,2195,2100,2100,2100,2150,2150,2260,2197,2100,2199,2185,2100,2100,2125,2100
East Harlem,Manhattan,neighborhood,1895,1900,1895,1975,1998,2095,2195,2185,2198,2180,2200,2175,2100,2000,2000,1975,1895,1900,1875,1897,1897,1950,1900,1997,2195,2100,2050,2050,2100,2000,2050,2100,2100,2104,2100,2153,2150,2195,2200,2173,2200,2203,2205,2193,2100,2000,2000,2000,1999,2048,2150,2153,2175,2100,2100,2050,2045,2095,2095,2100,2106,2190,2150,2250,2256,2296,2295,2250,2245,2292,2295,2249,2215,2250,2300,2352,2400,2400,2444,2390,2300,2300,2395,2385,2375,2334,2350,2350,2395,2405,2425,2395,2375,2370,2295,2350,2295,2298,2350,2250,2345,2350,2325,2300,2300,2300,2250,2200,2250,2383,2400,2400,2430,2400,2500,2450,2440,2400,2386,2375,2400,2400,2450,2495,2450,2300,2345,2295,2250,2195,2150,2081,2097,2000,2000,2095,2190,2250,2295,2295,2289,2250
East New York,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,,,,,1350,1400,1450,1513,1450,1650,1650,1363,1363,1495,,1500,1498,1435,1350,1500,1500,1500,1495,1473,1500,1698,1673,1600,1650,1700,1775,1750,1650,1650,1600,1663,1675,1648,1749,1900,1800,1950,1850,1850,1850,1725,1925,1900,1900,1850,1875,2100,2150,2000,1875,2000,2000,1950,1950,2000,2000,2099,2000,2050,2100,1950,1850,1900,1995,2000,2100,2150,2100,2150,2150,2150,2200,2150,2199,2100,2195,2075,2150,2100,2125,2100,2150,2200,2150,2200,2250,2200,2200,2225,2250,2225,2195,2250,2250,2200,2193,2119,2100,2095,2100,2150,2140,2150,2150,2138,2100,2190,2100,2200,2200
East Tremont,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1319,,1209,,,1136,1150,1200,,1475,1312,1312,1320,1275,1510,1488,1500,1450,1725,1700,1775,1750,1450,1425,,1400,1400,,,,,1698,1695,,,1500,1588,1625,1850,1775,1750,1750,,1700,1690,1750,1700,1700,1700,1650,1663,,1775,1850,1850,1750,2100,1850,1910,1900,1800,1900,1625,1625,1625,,1643,1650,1650,1900,,1798,1845,,,,1900,1900,1790,1700,1650,1650,1699,1950,,1575,,,1950,1950,1999,2150,2000
East Village,Manhattan,neighborhood,2500,2500,2400,2500,2595,2500,2600,2550,2695,2700,2695,2700,2700,2600,2695,2700,2900,2850,2800,2895,3240,2900,2900,2900,2950,2850,2885,2995,3000,3000,3000,3000,2995,3000,3000,3000,3089,3000,3000,3100,3100,3190,3154,3250,3250,3100,3100,3000,3000,3000,2995,3000,3200,3150,3200,3295,3200,3150,3098,3100,3000,2900,2950,3100,3115,3150,3200,3200,3173,3150,3095,3100,3100,3086,3200,3225,3300,3300,3297,3200,3145,3100,3100,3000,3000,3194,3163,3350,3348,3277,3250,3200,3000,3000,2900,2914,2995,3000,3050,3295,3495,3462,3390,3395,3283,3200,3150,3100,3097,3187,3198,3400,3500,3595,3550,3450,3400,3400,3400,3114,3200,3240,3200,3250,3250,3200,3100,2995,2850,2749,2699,2600,2595,2520,2600,2700,2850,3150,3400,3395,3485,3500
Eastchester,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edenwald,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elmhurst,Queens,neighborhood,1113,1150,1188,1150,,1050,,,,,,,,,,,,1275,,1325,,,,,,,,,,,,1515,1515,1950,1950,1950,1900,1900,1900,1925,1900,1940,2150,1840,1940,2080,1899,1685,1658,1875,1950,1950,1750,1825,1900,1963,1800,1700,1700,1698,1650,1898,1924,1912,1925,2000,1838,1850,1788,1775,1825,1750,1750,1885,1850,1850,1675,1950,1888,1800,1825,1825,1775,1825,1825,2100,2000,2000,2100,1968,2090,1950,1950,1897,1896,1900,1950,1935,1935,1925,1865,1750,1925,1990,2050,1900,1875,1900,1925,1900,1900,1900,1925,2182,2100,2100,1850,1950,1935,1875,1938,2000,2050,2067,2100,2000,1950,1900,1897,1800,1775,1850,1775,1750,1780,1800,1850,1900,1800,1811,1950,2000
Financial District,Manhattan,neighborhood,3200,3100,3015,3000,3200,3244,3107,3100,3033,3250,3250,3250,3300,3400,3399,3250,3300,3475,3500,3500,3595,3595,3485,3400,3400,3395,3300,3500,3450,3500,3680,3600,3700,3650,3913,3664,3500,3415,3350,3350,3395,3450,3500,3550,3550,3550,3509,3500,3500,3495,3495,3500,3550,3550,3500,3500,3600,3595,3500,3500,3499,3609,3595,3605,3675,3660,3700,3650,3695,3650,3550,3525,3500,3513,3550,3595,3600,3650,3700,3625,3660,3646,3500,3477,3450,3475,3563,3595,3631,3600,3765,3750,3695,3612,3642,3620,3575,3727,3595,3580,3595,3615,3709,3779,3750,3725,3692,3625,3698,3753,3667,3860,3827,3850,3850,3761,3771,3750,3756,3704,3753,3781,3750,3586,3518,3450,3300,3295,3200,3200,3173,3150,3150,3232,3275,3355,3395,3644,4000,4150,4438,4453
